ID_Numero,Pergunta_Paciente,Parte_Distorcida,Distorcao_Dominante,Distorcao_Secundaria
4500,"Olá, eu tenho uma menina bonita, inteligente, extraordinária e incrível de cinco anos. Ontem ela veio até mim e disse que a mãe pode levar- me ao médico. Perguntei- lhe o que estava errado e ela respondeu: Eu ouço vozes nos meus ouvidos, mas eu não vejo as pessoas dizendo isso. Ela diz que aconteceu durante a escola fazendo um círculo de leitura. Ela pensou que alguém a chamou de estúpida e avisar o professor. A professora não disse nada. Aconteceu novamente quando meu marido estava falando com meus outros filhos, ela disse que eu ouvi papai dizer calado, mas ele realmente não disse isso. A voz é sempre fimilar (alguém que ela conhece) Estou muito preocupado com isso e espero que não tenha nada a ver com a minha gravidez enquanto estava em serviço ativo.",A voz é sempre fimilar (alguém que ela conhece) Estou muito preocupado com isso e espero que não tenha nada a ver com a minha gravidez enquanto está em serviço ativo.,Personalizacao,Sem distorcao
4501,"Desde que eu tinha cerca de 16 anos de idade, eu tive estes meus sentimentos de mexer com eles, onde eu não consigo ter tempos extremamente desesperados para controlar minhas emoções. Eles aparecem de repente e absolutamente sem nenhum gatilho, embora por horas a dias antes que eles aconteçam, eu às vezes tenho níveis incomodavelmente elevados de energia – eu me sinto desagradável e tolo (mas de uma forma desesperada, se isso faz sentido) ou eu serei realmente produtivo e nervoso. Ambos estes sentimentos de alta energia são inquietantes, talvez porque eu normalmente quase nunca tenho altos níveis de energia. Os sentimentos, os episódios, o que quer que sejam, envolvem culpa extrema e desgosto comigo mesmo – mas é um sentimento muito visceral e esmagador. Eu me sinto preso dentro de meu nojento eu e como eu, eles me sinto desesperado por estes sentimentos, e eles me deixam desesperados e desesperados por causa de algo que eu me sinto tão desesperado.",Eu me sinto preso dentro do meu eu nojento e como eu estou disposto a fazer qualquer coisa para escapar dele.Eu só tenho medo às vezes que já que eu não estou realmente pensando durante estes tempos que eu poderia fazer algo a mim mesmo – especialmente desde que eu penso durante esses tempos que eu não mereço obter ajuda ou que eu não vale a pena perturbar as pessoas ligando- as.,Rotulacao,Raciocinio_emocional
4502,"Então ele me deixava namorar e sair com este cara por quase 3 anos. Ele é 3 anos mais novo que eu. Durante a nossa relação sempre tivemos problemas. Primeiro ele não me chamava, ele preferia sair com seus amigos do que eu, ele nem se lembrava do dia do nosso aniversário, ou coisas como aquelas que tentamos trabalhar tudo isso, mas eu sempre sentia que ele realmente amava e se preocupava comigo, mesmo que ele dissesse que me amava. Também me mentiu durante este tempo, primeira vez que foi a uma festa e quando lhe pedi que me deixasse em mentes que ele me deixava em cima de mim. O que me incomodava era o fato de que ele tinha fotos dançando, quase se esfregava, com outra garota. Ele mentiu na minha cara quando pedia! Depois de que tínhamos problemas de confiança e eu lhe disse que ele tinha que me deixava em mente que ele me deixava em mente e que ele me deixava em cima de mim.",Nenhuma,Sem distorcao,Sem distorcao
4503,"Meus pais se divorciaram em 2004. Minha mãe nunca se recuperou, ela tem mudanças de humor severas, eu acho que ela pode ser bipolar. Quando eu tinha seis anos em 1998, meu pai mudou nossa família para a Alemanha porque ele estava no exército. Eu tive uma infância incrível. Quando eu tinha doze anos em 2004, meu pai teve que ir para o Iraque. Minha mãe pensou que seria melhor se ela mudou meu irmão e eu voltar para os EUA, onde nós teríamos apoio familiar. Eu estava muito deprimido porque meu pai era meu herói e eu culpei minha mãe por tudo que deu errado. Eu senti que ninguém me entendeu, principalmente porque nós vivemos em uma parte muito remota e rural do estado. Quando meu pai voltou, ele queria um divórcio da minha mãe. Alguns anos antes, minha mãe teve que ter cirurgia no quadril dela. meu pai a deixou no hospital e encontrou uma mulher em um bar. Eles enganaram e minha mãe foi desventurada. Mas ele prometeu que nunca mais faria isso.",Nenhuma,Sem distorcao,Sem distorcao
4504,"Eu realmente não sei como explicar a situação, mas eu lidava com um monte de drama familiar, meus pais têm uma espécie de altas expectativas, com o estresse da escola em cima disso eu fiquei extremamente infeliz e manteve todas as minhas emoções dentro e eu usava esse sorriso falso todos os dias até que eu finalmente chegasse ao meu ponto de ruptura. Comecei a me prejudicar por cerca de seis meses até que minha mãe descobriu e sugeriu um programa de internação em um hospital. Eu me recusei a ir porque eu não sabia se ia ir no meu registro que poderia afetar meus sonhos de tornar-se um psiquiatra. Então, em vez disso, ela me enviou a um locutor que eu estava vendo por cerca de um ano. Ela me enviou a um psiquiatra quando comecei a ir para ela e eu comecei a ser diagnosticado com depressão e colocar medicação, mas eu parei de tomá-lo um mês após que foi inscrito. Eu tenho um grande medo de perder a minha mãe e ainda assim me afogar é possível.","Eu me recusei a ir porque não sabia se ia entrar no meu registro, o que poderia afetar os meus sonhos de me tornar psiquiatra.Tenho um grande medo de sufocar e afogarParece que toda vez que fico tão perto de bater, fico de volta ao fundo.",Adivinhacao,Raciocinio_emocional
4505,"Olá. Eu tenho sido amigo de um cara desde a 6a série. Nós estávamos na mesma nota e melhores amigos um do outro. Dois anos atrás eu percebi que eu o amo incondicionalmente e o que tudo que compartilhamos não era apenas amizade, mas eu tinha outros sentimentos por ele. Primeiro eu pensei que os sentimentos eram mútuos e assim todos os nossos amigos comuns me disseram. Mas quando eu propuse o GUY, ele me recusou e disse que ele nunca se sentiu assim. E todos, incluindo seu irmão e primo que são meus bons amigos também, tomaram seus sentimentos por mim erroneamente. Ele era apenas um amigo para mim sempre e não tinha tais sentimentos para mim. Ele certamente parou de falar comigo. Nenhum contato em tudo por 8 meses. Mas eu ainda o amava n eu ainda tenho. Eu estava sempre preocupado com ele. Então manteve um detalhe sobre ele através de seu irmão e amigos, mas ele lutou com eles também. Em um momento ele rompeu todos os seus laços com todos e entrou em uma nova vida.",Nenhuma,Sem distorcao,Sem distorcao
4506,"Cerca de um ano atrás ao mês, eu estava no meio de uma separação muito dolorosa durante o meu último ano de faculdade. Eu tinha estado com meu ex por 2 anos, era uma relação muito séria, nós vivimos juntos, e a separação foi totalmente inesperada. Em retrospectiva, o relacionamento era malsano... Eu mudei / comprometi- me muito para tentar acalmar meu ex, para encaixar na sua vida, e eu acho que me convenci de que eu estava feliz independentemente.",Nenhuma,Sem distorcao,Sem distorcao
4508,Ter a estrutura da nossa família para focar pareceu ajudar a minha mãe esquizofrênica a mantê- la unida enquanto estávamos crescendo. Vimos seu primeiro episódio psicótico quando eu era um sénior no ensino médio a criança mais velha. A mãe passou tempo em hospitais mentais estaduais antes de se casar. Meu pai era um alcoólatra verbalmente abusivo.,Nenhuma,Sem distorcao,Sem distorcao
4509,"Eu tenho 14 anos e tenho ansiedade social / depressão. Quando eu tinha 5 anos, meu pai foi morto em um acidente de carro. Depois disso, minha mãe continuou a trabalhar. Quando eu tinha 9 anos, minha mãe e eu estávamos em um acidente de carro grave. Ela quebrou todos os ossos do lado direito do corpo e eu rompi o baço e fracturei a perna.",Nenhuma,Sem distorcao,Sem distorcao
4510,"Eu tenho estado com meu noivo por dois anos. Eu tenho ficado bem com a família dela até recentemente. Sua mãe começou a enviar piadas por e-mail para meu noivo e eu e nós percebemos que havia um par de outras pessoas nos e-mails, incluindo uma ex-namorada, que ele namorou por um curto período de tempo. Meu noivo perguntou a sua mãe se ela ainda estava em contato com ela e ela disse que sim que eles e-mail ocasionalmente. Ele disse-lhe que isso o deixava desconfortável e pensou que era desrespeitoso para ele e eu e que isso iria ferir meus sentimentos. Ela respondeu muito duramente dizendo que ela iria ser dito a quem ela poderia falar. E que se eu fosse tão frágil do que ela nunca estaria perto de mim de qualquer maneira porque ela não iria querer ter uma relação com alguém que ela precisasse de sensor o que ela diz por causa dos meus sentimentos. Ela então me removeu de seu e-mail relacionamento e me sentia muito desrespeitoso deleitado.","Senti como se a resposta fosse totalmente irracional, má e desrespeitosa. Senti- me extremamente magoada.",Maximizacao,Sem distorcao
4511,"Meu marido e eu estamos casados há mais de um ano. Enquanto estávamos namorando, eu pensei que ele exibia traços de honra, lealdade, integridade, honestidade e bondade, bem como características de um trabalhador duro, e um indivíduo globalmente bem arredondado. Daqui a dois meses, eu o conhecerei por cinco anos sólidos (para todos os quais éramos um casal).","Eu pensei que ele exibia traços de honra, lealdade, integridade, honestidade e bondade, bem como características de um trabalhador duro, e um indivíduo geral bem arredondado.",Rotulacao,Sem distorcao
4512,"Eu não sei como recuperar da psicose do meu marido. Meu marido foi psicótico por cerca de um ano. Começou pouco antes do nosso casamento (atribuí o seu comportamento ao estresse – ele possuía um negócio que desde então falhou) e continuou durante o nascimento do nosso filho. O episódio psicótico foi quase certamente estimulado pelo seu uso/ abuso de anfetaminas prescritas (70m Vyvanse por dia, 20m Aderal como necessário) mas a psicose persistiu por vários meses após ele parar os remédios.",Atribuí seu comportamento ao estresse – ele possuía um negócio que desde então falhou,Leitura_mental,Sem distorcao
4513,"Minha mãe e eu tivemos uma história rochosa, principalmente como resultado de um divórcio de infância (a minha mãe traiu meu pai, de quem sempre estive extremamente próximo, e me casei de novo imediatamente com um homem mais jovem) e seu vício em álcool. Posteriormente, ao longo dos anos, ela recebeu tratamento e mudou sua vida, e assim nós restabelecemos um relacionamento e crescemos perto.",Nenhuma,Sem distorcao,Sem distorcao
4514,"Eu sou um homem de 33 anos com um pai esquizofrênico. Ele foi diagnosticado como um jovem adulto, mas lembra de ouvir vozes tão cedo quanto aos 13 anos. Ele está agora em seus fins de 50 anos e ele está além de cuidar de mim mesmo. As últimas 4 ou 5 situações de vida que ele estava em (apartamentos) ele foi desalojado por um comportamento estranho como o derretimento de cassetes no forno e começar um fogo menor e incomodar os vizinhos , incluindo muitas outras coisas. Ele parou com todas as práticas de luxo. Ele parou de pagar contas para pobre dinheiro management e falta de lá dele. Então ele tem um pouco de luxo que ele está alojado com alguns amigos que eventualmente o enviam sem perceber a extensão de sua doença. Então, após cada briga com os amigos que ele tem estado com ele, ele termina em minha porta com uma escolta policial depois que ele encontrando ele a vagando para as ruas frias e o pai deleite.","Tive que cancelar o trabalho na sexta- feira porque não posso deixá- lo sozinho no meu apartamento com medo de que ele faça alguma coisa e me despeje, ou pior. Estou no fim das minhas cordas e não sei o que fazer.",Adivinhacao,Sem distorcao
4515,"Meu marido e eu estivemos juntos por quase 10 anos e tenho um filho. Nós somos muito abertos e compatíveis sexualmente, embora a nossa vida sexual tenha sido através de alguns altos e baixos como nós crescemos como pessoas e experimentou o parto de crianças e filhos. Os primeiros anos de nossa relação, fizemos algumas coisas selvagens sexualmente, como sexo público, sexo em grupo, voyeurismo, etc. Ambos nos divertimos e fomos igualmente envolvidos e responsáveis pelas nossas ações. Durante e após a gravidez e o parto do nosso filho, contudo, a nossa vida sexual passou por algumas mudanças drásticas, e nós nos encontramos com alguns problemas sexuais para trabalhar, tendo uma noite inteiramente discutido que nós haviamos despertado o meu trabalho. Uma destas questões foi o meu novo desinteresse em nossas antigas maneiras selvagens; a maternidade tinha tornado meu ponto de vista sobre ele de diversão para irresponsável. Nós temos superado a maior parte da imunidade que fez seu caminho para a nossa cama, mas agora somos apresentados com um espaço um pouco gracioso.","Decidi não voltar a juntar- me a ele devido à sensação de incômodo que me deu, o que me impediu de me divertir. Desde então, sei que ele ainda faz isso. acreditando que isso ajuda a mantê- lo ""fiel"" para mim, já que não estou mais interessado.",Personalizacao,Sem distorcao
4516,"Comecei a fazer terapia em dezembro, depois de outras 3 tentativas fracassadas. Eu fui consistente em ir, e realmente desenvolvi uma relação com o meu terapeuta. No meu passado, não fui sincero com os meus sentimentos. Tendo esconder histórias de traumas de maquiagem para ajudar a lidar com as coisas que aconteceram. Fui violentamente estuprada na faculdade, e nunca contei a ninguém sobre isso.",Nenhuma,Sem distorcao,Sem distorcao
4517,"Eu leia uma pergunta que era semelhante à dela, mas eu não acreditava que pudesse ser totalmente usada para a minha situação. Tanto a minha namorada e eu tinha 20 anos. Nós estamos juntos desde o 2 de julho de 2010, e é 28 de março de 2011. Nós éramos amigas durante muitos anos antes de começar a namorar, mas devido a ambos se movendo em torno dela, ele não foi capaz de ter uma relação. Ela é tudo o que eu sempre quis em uma mulher e eu estou tão feliz de tê-la em minha vida. Eu não tinha interações sexuais o que antes eu estava com ela, ela é a minha primeira em tudo. Infelizmente, ela não era a primeira em seu pênis e ela não era a primeira em seu pênis dela, quando ela estava aborrecida, e isso é muito doloroso para mim. Quando ela estava crescendo os dentes dela. Ela nunca se sentia amada ou até mesmo abusada. Ela foi molestada em várias ocasiões, mas nunca por um membro da família. Sua vida não foi uma de felicidade e está cheia de dores do seu dia.","Eu não sei se ela está tentando me proteger porque ela sabe o quão ruim isso me machucaria se eles realmente fizessem, ou se ela realmente não tinha sexo completo com ele.",Leitura_mental,Sem distorcao
4518,"Realmente me ocorreu recentemente. Sempre tive memórias vagas, pequenas e aleatórias dela na minha mente nos últimos anos. Eu sabia que era a minha vida, nunca pensei muito nisso. Mas recentemente comecei a pensar mais sobre isso e percebi que aquelas memórias vagas eram tudo o que tinha agora.",Mas recentemente comecei a pensar mais nisso e percebi que aquelas vagas memórias eram tudo o que eu tinha agora.,Pensamento_tudo_ou_nada,Sem distorcao
4519,"Eu poderia ser bipolar. Ele tem episódios de depressão e age completamente diferente quando ele está com seus amigos. Eu sinto que ele tem personalidades divididas. Muitas vezes ele não se lembra de tarefas que ele completou dias atrás. Nós estamos em um momento estressante em nossa relação que inclui o bebê de 6 meses. Nós costumavamos ser melhores amigos e ainda hoje nós gostamos de tempo compartilhado com o bebê, mas eu vejo cada vez mais ele não tem idéia do que eu estou falando porque ele pergunta, hã? . todo o tempo. Houve problemas persistentes. Há cerca de dois anos ele foi fotografado em um quase orgia como o relacionamento sexual. No entanto, ele ainda insiste e acredita que eu (23 anos) sou a única garota que ele já beijou ou abraçou apesar das fotos. Há outra mulher que diz ter tido um ano de folga que ele pensa que ele vai ficar com o namorado feliz e que ele ainda vai ficar com ele. Eu acredito que ela quer, e seu filho é dois meses mais velho do que o meu.","Sinto que ele tem personalidades divididas. Muitas vezes ele não se lembra de tarefas que completou há dias. Estamos em um momento estressante em nosso relacionamento que inclui o bebê de 6 meses. Costumamos ser melhores amigos e ainda hoje às vezes nós gostamos de tempo compartilhado com o bebê, mas eu vejo cada vez mais ele não tem idéia do que eu estou se referindo porque ele pergunta, o tempo todo. Houve problemas persistentes. Realmente não entendo nada disso e eu estou caindo profundamente na depressão que junto com o peso do bebê eu não posso deixar. Se eu lhe perguntar a verdade ele simplesmente vai olhar para mim e dizer outra mentira. {Eu não posso suportar, a sério.}",Leitura_mental,Supergeneralizacao
4520,"7 semanas atrás, minha esposa teve uma historectomia completa, porque ela teve dores abdominais muito ruins. há quase 2 semanas (no dia de casamento) eu cheguei a casa do trabalho e ela estava chorando e era muito emocional e não parava de falar sobre o seu passado e sua família. Eu esperava este tipo de comportamento considerando a cirurgia e confortá-la. isto continuou por alguns dias. então ela ficou totalmente convencida de que a nossa vizinha (a sua melhor amiga) queria que ela chamasse os serviços de proteção à criança em seu marido por causa de abuso. a coisa estranha foi que ela nunca realmente falou com a amiga sobre isso. esta idéia então começou a tomar tudo que ela fez e ela estava a pensar que a minha esposa estava a brincar e estava a pensar em mim quando a minha amiga tinha um monte de tempo.",Nenhuma,Sem distorcao,Sem distorcao
4521,"Eu sempre sofri de ansiedade de desempenho, ansiedade social e um certo grau de depressão maníaca. No entanto, eu sou muito inteligente/ talentoso e fui muito bem sucedido na escola secundária e frequentei uma universidade de topo. Eu estava muito infeliz lá e quase desistiu apesar de boas notas. Eu fui brevemente tratado por ansiedade causada por um medicamento prescrito e este tratamento me fez feliz, extrovertido e popular, mas também maníaco e sexualmente disfuncional. Durante este tempo eu fui recrutado para muitos grandes empregos, mas estava com medo de levá- los e, em vez disso, começou meu próprio negócio dot- com. No entanto, uma vez fora do tratamento minha ansiedade/ depressão retornou e o negócio não se desenvolveu muito. Eventualmente falhou e tornou- se apenas eu trabalhando para um de nossos clientes. Isto abrangeu 15 anos desde a faculdade e, em geral, ele forneceu uma renda bastante boa em um ambiente de baixo estresse, embora eu tive que trabalhar de casa e ele era muito solitário.","Durante este tempo, fui recrutado para muitos grandes empregos, mas tive medo de levá-los e, em vez disso, comecei o meu próprio negócio dot- com.",Adivinhacao,Sem distorcao
